,kq.1,kq.160,kq.280,TFU.1.1,TFU.1.2,TFU.1.3,TFU.1.4,TFU.1.5,TFU.1.avr,TFU.160.1,TFU.160.2,TFU.160.3,TFU.160.4,TFU.160.5,TFU.160.avr,TFU.280.1,TFU.280.2,TFU.280.3,TFU.280.4,TFU.280.5,TFU.280.avr,CLA.1.1,CLA.1.2,CLA.1.3,CLA.1.4,CLA.1.5,CLA.1.avr,CLA.160.1,CLA.160.2,CLA.160.3,CLA.160.4,CLA.160.5,CLA.160.avr,CLA.280.1,CLA.280.2,CLA.280.3,CLA.280.4,CLA.280.5,CLA.280.avr,TCO.1.1,TCO.1.2,TCO.1.3,TCO.1.4,TCO.1.5,TCO.1.avr,TCO.160.1,TCO.160.2,TCO.160.3,TCO.160.4,TCO.160.5,TCO.160.avr,TCO.280.1,TCO.280.2,TCO.280.3,TCO.280.4,TCO.280.5,TCO.280.avr
94,0.8139338782,0.8314049415000001,0.8312344618,830.035132,954.2856785,1024.632869,1028.372799,984.1403363,964.29336296,1183.466372,1429.624586,1555.4407390000001,1535.529849,1409.744298,1422.7611688000002,1194.6532339999999,1465.698917,1624.012392,1646.169973,1571.4603029999998,1500.3989637999998,662.8650046,747.5136844,814.615633,851.751246,861.7722925,787.7035721,826.3032957,1001.1272039999999,1129.845219,1186.906229,1181.7394199999999,1065.18427354,834.3941332999999,1025.921182,1178.5095,1265.7105099999999,1296.1943410000001,1120.14593326,581.86694,644.4241450000001,709.4344658,764.567733,802.7215817000001,700.6029731000001,640.5014654,774.928726,910.530565,1018.7981869999999,1083.938363,885.7394612799999,643.4110235,785.8961435,935.8557494999999,1065.1259949999999,1157.645743,917.5869309
95,0.845288011,0.8605225789000001,0.8603069742,838.6363717,969.8696356,1044.192416,1049.7959560000002,1000.1802970000001,980.53493526,1201.427277,1460.612236,1592.438927,1575.144311,1437.57273,1453.4390962,1213.218025,1497.80322,1662.549571,1688.931019,1604.797192,1533.4598053999998,666.9729258,755.8365687,826.2150674,865.6435134999999,874.5342876,797.8404726,835.6378358,1019.0598789999999,1153.7344449999998,1214.353887,1205.425901,1085.64238956,844.1779075,1044.880453,1204.164606,1296.083854,1324.242145,1142.7097931,583.3944456,648.5011653,716.3957994,774.2491854,813.6617142000001,707.2404619800001,643.8740927,783.7346974,925.2198314,1038.652957,1105.476333,899.3915823,646.9475150000001,795.1929772999999,951.5490249,1086.785281,1182.085709,932.5121014399999
96,0.8619208620000001,0.8730342073,0.8728160649,841.3941332999999,976.3801231000001,1053.8506730000001,1061.306947,1010.8520869999999,988.75679268,1206.5083619999998,1472.1637779999999,1607.994694,1592.9232630000001,1454.651378,1466.8482950000002,1218.3605400000001,1509.3573939999999,1677.83142,1706.63764,1622.7620980000002,1546.9898184,668.3143875,759.2754388,831.7254360000001,872.7555484,882.0268156999999,802.81952528,838.3669751,1025.714153,1163.622002,1226.371372,1217.934474,1094.40179522,846.9661833999999,1051.637201,1214.147669,1308.3967910000001,1337.592598,1151.7480884800002,583.895442,650.1031022999999,719.4899397999999,778.9116238,819.4548476,710.3709911,644.868153,786.8358947,930.9507623,1046.909122,1115.489102,905.0106068000001,647.962952,798.3470755,957.3573226,1095.2195,1192.565509,938.29047182
97,0.8489418620999999,0.8552930791,0.8551029126999999,833.5403759999999,968.0402525000001,1045.572441,1053.407523,1006.499892,981.4120968999999,1188.3523,1452.542302,1587.6868630000001,1572.727061,1443.43852,1448.9494092,1199.276446,1487.855743,1654.607554,1681.8818039999999,1605.343364,1525.7929822,664.6130698,754.5031856,826.2980602000001,866.9747199999999,877.4760492999999,797.97301698,829.1424816000001,1013.8004470000001,1149.617875,1211.360027,1206.494923,1082.08315072,837.1089758999999,1038.313211,1197.738551,1289.735439,1321.390745,1136.85738438,582.5252875,647.4488767999999,715.7553393999999,774.3544372,814.8696167999999,706.9907115399999,641.5585172,780.2757105000001,921.4249367000001,1035.102406,1103.726171,896.4175482800001,644.4230834,791.1090396000001,946.4680471,1081.111228,1177.456466,928.11357282
98,0.7617303398999999,0.7645208193999999,0.7644192648,808.6019256,923.8118186,991.4818551000001,997.5607532,959.733958,936.2380621,1133.724276,1359.0216679999999,1476.284103,1459.5397039999998,1351.01999,1355.9179481999997,1142.471775,1389.609247,1535.984327,1555.920518,1492.321181,1423.2614096000002,652.7741351,730.9073925,794.1048603999999,830.0275816000001,841.3107876,769.82495144,801.1404051,960.217747,1078.6816939999999,1132.543323,1132.606141,1021.0378620200001,807.4368825,980.9101197999998,1119.961088,1200.009344,1231.421664,1067.94781966,578.1205397000001,635.8434095,696.2566117,747.9953972,784.536478,688.55048722,631.4343075,753.9546962000001,877.7416225,977.1836800000001,1039.0148279999999,855.8658268399998,633.6888838,762.9684599,898.9787206,1016.4703630000001,1102.0800570000001,882.83729686
111,0.7919188967,0.8089253422,0.8087872425,829.0360507,950.9384855000001,1015.252118,1010.956215,965.3911855,954.3148109400001,1181.1875699999998,1422.386132,1535.825867,1499.336349,1370.485067,1401.844197,1192.0889,1457.923007,1603.754578,1608.764823,1529.1251960000002,1478.3313008,662.3367817000001,745.7478198,809.6916312999999,842.3258442,850.3794998999999,782.09631538,824.9039351,996.8899545,1118.6081199999999,1166.162298,1157.437063,1052.80027412,832.7932496000001,1021.234682,1166.481039,1243.534984,1269.112438,1106.63127852,581.664807,643.6318488,707.0757591,759.4858511,795.1578897999999,697.40323116,639.9701792000001,773.000591,905.0553182,1007.352332,1067.317765,878.53923708,642.8048934,783.7505687,929.9378042999999,1052.8402119999998,1139.385956,909.74388688
112,0.9176831371999999,0.9407827637999999,0.9406973554000001,838.7746179999999,973.5732627999998,1037.607222,1025.189782,962.8239413999999,967.5937652399998,1215.267781,1493.356438,1616.910242,1575.338655,1414.908342,1463.1562916,1216.512652,1511.522403,1661.407232,1657.615662,1544.6898039999999,1518.3495506,652.3096458,734.5870725,795.8271183999999,825.9356841,829.8884031,767.7095847799999,813.590413,994.646822,1121.4130289999998,1172.485555,1159.528344,1052.3328326,815.7093254,1007.0128060000001,1151.174688,1226.413836,1242.9114220000001,1088.64441548,576.4684495,634.2063203,693.8770175,743.3235194,776.161884,684.8074381399999,632.8895416,763.5416111000001,896.0602159,1001.1158019999999,1062.617567,871.2449475199999,633.6401055,768.4169425,910.0649488,1030.24965,1112.8484939999998,891.04402816
113,0.9976346993,1.022619808,1.0224732490000001,860.4272786,1012.77037,1083.994953,1069.618492,998.2525606,1005.01273084,1262.516185,1574.981631,1710.775501,1667.558307,1487.576185,1540.6815618,1265.107444,1595.585538,1759.9355600000001,1758.6158870000002,1632.072546,1602.2633950000002,661.7345828,753.8919764,821.5348342999999,854.0565807,856.8232956,789.60825396,836.8406752999999,1040.407543,1181.0982900000001,1236.631827,1218.3763470000001,1102.6709364600001,839.9469174000001,1054.966162,1214.9965650000001,1297.906277,1312.724884,1144.1081610800002,579.8761374,643.3941001000001,709.2112025,763.5526593999999,799.0429558,699.01541104,641.1068862000001,785.4054143,932.3404837999999,1048.523174,1114.864298,904.4480512599999,642.216865,791.3226392999999,948.5893735999999,1081.945211,1172.143311,927.24347998
114,1.045542148,1.0645058729999999,1.064337595,870.0250977,1031.6010720000002,1109.289374,1098.874002,1023.6618210000001,1026.6902733399997,1282.63795,1611.854941,1755.977628,1717.9945260000002,1533.941179,1580.4812448,1285.609143,1632.765857,1806.4137010000002,1810.5603219999998,1683.170068,1643.7038182000001,665.9948772000001,763.2481914,835.286601,871.2847201,874.2613439999999,802.0151467400001,847.0879633999999,1061.710625,1210.167354,1270.700186,1252.514964,1128.43621848,850.5546316,1077.022015,1245.533711,1334.4247560000001,1351.0204199999998,1171.7111067199999,581.4208827000001,647.7816134999999,717.0775169,774.9746735,812.8086688999999,706.8126710999999,644.7435904,795.4817965,949.6704823999999,1072.491501,1142.993746,921.07622326,645.9849128,801.764987,966.7204605000001,1107.393806,1202.873538,944.9475408600001
115,1.049225179,1.05922198,1.059069805,866.4538861,1028.852325,1109.49641,1103.475007,1029.492345,1027.55399462,1273.499874,1603.072628,1749.4921570000001,1716.685704,1538.726144,1576.2953014,1276.09159,1623.015936,1797.6472780000001,1805.368134,1683.362307,1637.0970490000002,664.4981861,761.7474276,834.8593295,872.7958269999999,876.7097048,802.122095,842.7344355,1056.4384029999999,1205.350784,1268.15385,1252.85536,1125.1065664999999,845.8889671000001,1070.9431630000001,1239.004936,1329.15345,1348.167922,1166.6316876199999,580.8873442,646.8954516,716.3454757000001,775.0630503,813.786389,706.5955421599999,643.2304684999999,792.5852897000001,945.9874136,1069.161319,1141.051532,918.4032045600001,644.3567678,798.4960123999999,962.1546142999999,1102.455498,1198.672618,941.2271021
