,x_GJ.100.0,x_GJ.125.0,x_GJ.200.0,x_Tout.100.0,x_Tout.125.0,x_Tout.200.0,x_max.100.0,x_max.125.0,x_max.200.0
2,0.5386994,0.557389,0.5574102,522.5173,775.1407,838.1153,1078.16,2045.779,2091.4429999999998
3,0.5383842,0.5568761,0.5568209,522.9299,774.2994,838.304,612.4799,1048.732,1103.212
4,0.5378356,0.5558261999999999,0.5557019,529.1653,786.5795,851.8294,610.4271,1021.8860000000001,1110.1580000000001
5,0.5376927,0.5555125,0.5554526,534.3096,797.9026,862.6315,546.5455,905.2609,956.4454
6,0.5400378,0.5601338,0.5605561,512.2025,753.9843,811.4025,0.7698316999999999,0.7395951999999999,0.7381681999999999
7,0.5381243,0.5560601,0.5559345,530.3169,793.2281,858.5203,1145557.0,2749912.0,2673722.0
8,0.6730549,0.6791716,0.6798432,502.4531,765.9982,807.9871,75000000.0,178618400.0,173662000.0
9,0.6692735,0.6718857,0.6720345999999999,521.5507,806.4161,853.4402,,,
10,0.6670611,0.6676681999999999,0.6675627,534.0191,833.0251,882.7333,,,
11,0.6668255,0.6672756999999999,0.6672316,536.8121,838.8972,888.2611,,,
12,0.6703656,0.6742246999999999,0.6747638000000001,518.8614,799.7426,843.6046,,,
13,0.5371448,0.5543958999999999,0.5542651999999999,541.752,813.58,879.6282,,,
14,0.5370954000000001,0.5539042,0.5535270999999999,540.8036,815.6989,884.8752,,,
15,0.6687101,0.6703956999999999,0.6703544,525.4988,817.6129,866.2913,,,
16,0.77253,0.7570007,0.7577446,504.7125,793.7533,830.3457,,,
17,0.7687444999999999,0.749913,0.7502489,518.0762,823.7386,863.392,,,
18,0.7650933000000001,0.7431017,0.7431763000000001,534.5191,861.4584,903.4387,,,
19,0.7667727,0.7464152,0.7468609,529.9865,850.5452,890.0565,,,
20,0.6662724,0.6661796,0.6660814,540.7147,847.6302,897.608,,,
21,0.5365655,0.553233,0.5529499,546.7921,823.7828,892.0413,,,
22,0.5365649,0.5527135,0.5521807,546.7991,829.5634,901.1613,,,
23,0.666266,0.6652814,0.6647773,539.6402,850.9567,904.1001,,,
24,0.7683772,0.7485179,0.7485835999999999,519.7585,830.9843,872.2489,,,
25,0.7724809,0.7467954000000001,0.7463683000000001,533.9868,864.4619,908.9647,,,
26,0.7698334,0.7420397,0.7414989000000001,546.537,892.9301,938.8004,,,
27,0.764716,0.7423812,0.7424206999999999,536.2544,865.5168,907.7898,,,
28,0.6662669,0.6660949,0.6659128000000001,539.6346,845.5814,896.1621,,,
29,0.5370958,0.5542439,0.5540304,540.7991,811.9528,878.9601,,,
30,0.5371441,0.5537102,0.5532511,541.761,821.203,891.6267,,,
31,0.6662712,0.6649228,0.6643254,540.7231,855.9444,909.902,,,
32,0.7647146,0.7407656,0.7402287,536.2613,873.4258,919.1009,,,
33,0.7723605,0.7455299,0.7447234,534.5283,870.8634,917.6181,,,
34,0.7722190999999999,0.7453965,0.7445248000000001,534.0009,868.9142,915.936,,,
35,0.7723613,0.7465681,0.7461299,534.5242,865.7268,910.3217,,,
36,0.7683778,0.7492063,0.7495129,519.7554,827.6624,867.5544,,,
37,0.6687105,0.670765,0.6708664000000001,525.4963,815.217,862.7873,,,
38,0.5381244000000001,0.5562189999999999,0.5561691999999999,530.3148,791.4839,855.7811,,,
39,0.540037,0.5593829,0.5594454000000001,512.2122,762.0976,824.1495,,,
40,0.6703642,0.6726766,0.6726227,518.8712,809.6799,858.098,,,
41,0.7667708000000001,0.7440038,0.7435835999999999,529.9962,862.225,906.7551,,,
42,0.7698316999999999,0.7395951999999999,0.7381681999999999,546.5455,905.2609,956.4454,,,
43,0.7722190999999999,0.7453948,0.7445225999999999,534.0009,868.9216,915.9465,,,
44,0.77253,0.7570074,0.7577533000000001,504.7124,793.7151,830.2951,,,
45,0.6730549,0.6791826,0.6798579,502.453,765.9141,807.8721,,,
46,0.5376918,0.5545561999999999,0.5540392,534.3214,808.4807,879.286,,,
47,0.6668239,0.6652517,0.6644131999999999,536.8242,852.4499,908.191,,,
