,kq.1,kq.160,kq.274,TFU.1.1,TFU.1.2,TFU.1.3,TFU.1.4,TFU.1.5,TFU.1.avr,TFU.160.1,TFU.160.2,TFU.160.3,TFU.160.4,TFU.160.5,TFU.160.avr,TFU.274.1,TFU.274.2,TFU.274.3,TFU.274.4,TFU.274.5,TFU.274.avr,CLA.1.1,CLA.1.2,CLA.1.3,CLA.1.4,CLA.1.5,CLA.1.avr,CLA.160.1,CLA.160.2,CLA.160.3,CLA.160.4,CLA.160.5,CLA.160.avr,CLA.274.1,CLA.274.2,CLA.274.3,CLA.274.4,CLA.274.5,CLA.274.avr,TCO.1.1,TCO.1.2,TCO.1.3,TCO.1.4,TCO.1.5,TCO.1.avr,TCO.160.1,TCO.160.2,TCO.160.3,TCO.160.4,TCO.160.5,TCO.160.avr,TCO.274.1,TCO.274.2,TCO.274.3,TCO.274.4,TCO.274.5,TCO.274.avr
94,0.8171054021999999,0.8343750079000001,0.8341975386,832.2977405,955.7745907999999,1026.283981,1029.897903,985.9288831,966.03661968,1182.2946689999999,1426.924988,1555.1792,1538.808365,1418.314293,1424.3043030000001,1191.0313859999999,1457.309465,1614.3178970000001,1635.800117,1562.192118,1492.1301965999999,663.9247675,748.4443762,815.7361718,852.9123699999999,863.122509,788.8280388999999,826.9160176,1001.7279890000001,1132.300962,1191.849195,1189.954216,1068.54967592,832.7652103999999,1021.55341,1172.700963,1258.91201,1289.32914,1115.0521466799999,582.2589512,645.0223177,710.2373596,765.5158986,803.8320122,701.3733078600001,640.7426785,775.3404320000001,911.7499018,1021.500334,1088.867915,887.6402522599999,642.8517747999999,783.9685815,932.4640045,1060.3934199999999,1152.041802,914.3439165599999
95,0.8470329489,0.8620515366,0.8618367057999999,840.3310231,970.885973,1045.326433,1050.760931,1000.601123,981.58109662,1198.904125,1456.769212,1591.000256,1577.263293,1443.440418,1453.4754608,1208.1157460000002,1488.0455650000001,1651.401088,1676.88932,1592.0239279999998,1523.2951294,667.7672876,756.486,826.9949726,866.4119440999999,875.0926072000001,798.5505623,835.5953907,1018.981494,1155.42886,1218.528045,1212.132069,1088.13317174,841.7824798,1039.606724,1197.231841,1287.98041,1315.128376,1136.34596616,583.6879281,648.9313815,716.9635799,774.8997727999999,814.2806931,707.75267108,643.8809186000001,783.742773,925.8921353000001,1040.715904,1109.422284,900.73080298,646.1138886,792.7506211,947.3967969,1081.063917,1174.981159,928.46127652
96,0.86405912,0.8749875915,0.8747716464,843.184148,977.5672369999999,1055.213651,1062.524848,1011.517606,990.001498,1204.14894,1468.592557,1606.858841,1595.373817,1460.9352689999998,1467.1818847999998,1213.419364,1499.8702970000002,1667.052309,1695.070755,1610.332691,1537.1490832,669.1553951000001,760.0221052999999,832.6414781000001,873.687925,882.7608329,803.6535472800001,838.4185652000001,1025.81135,1165.5427539999998,1230.82637,1224.980077,1097.1158232399998,844.6548015000001,1046.520314,1207.423834,1300.529498,1328.736439,1145.5729773,584.2062255,650.5806508,720.1392324,779.6762679,820.2127072000001,710.9630167600001,644.9091848999999,786.9315058,931.7656652999999,1049.1716689999998,1119.6935720000001,906.4943194,647.1600013999999,795.9828085,953.3338443,1089.669719,1185.667291,934.36273284
97,0.8500336545,0.8562146279,0.8560223792,834.6448713,968.4888223999999,1046.125667,1053.833179,1007.0983,982.03816794,1184.6425390000002,1447.470779,1584.8849519999999,1573.476311,1449.458648,1447.9866458000001,1193.090214,1477.022495,1642.383323,1668.80576,1592.946424,1514.8496432,665.1294098999999,754.8245135,826.6970891,867.3445974,877.9371627,798.38655452,828.4709187000001,1012.9371679999999,1150.333794,1214.463479,1212.806769,1083.8024257399998,834.1606161000001,1032.3849480000001,1190.035631,1280.8189519999999,1312.10249,1129.9005274200001,582.7160737,647.6911723,716.0600688999999,774.6874621000001,815.2546934999999,707.2818941,641.3391042999999,779.8458857999999,921.4445462000001,1036.339073,1107.007841,897.1952900600002,643.3903083,788.2952587999999,941.7856296,1074.741158,1169.883108,923.61909254
98,0.7653312275,0.7679262518000001,0.7678051631999999,810.8935359,925.3942206,993.2607622000002,999.2745884999999,962.0111324999999,938.1668479399999,1132.917014,1356.720816,1476.157788,1462.6404539999999,1359.56359,1357.5999324,1139.567445,1382.349425,1527.530969,1547.011211,1485.102323,1416.3122746,653.8408277000001,731.8820446000001,795.2931864,831.296791,842.9185663999999,771.0462832199999,801.8243677999999,960.8899508999999,1080.996472,1137.111101,1140.418052,1024.24798874,806.2002282999999,977.2574298000001,1115.083154,1194.3252009999999,1226.0076080000001,1063.7747242199998,578.5159299,636.4599026000001,697.096132,749.0072508,785.7856289,689.37296884,631.6988784,754.4036852999999,878.9270787999999,979.7118065999999,1043.6658630000002,857.68146242,633.2682557999999,761.3930856000001,896.1683027,1012.540185,1097.5467210000002,880.1833100199999
111,0.7946781702,0.8115119679,0.8113693056,831.2943191,952.3932095,1016.72991,1012.134374,966.8198909,955.8743407,1180.008249,1419.650149,1535.349012,1502.16301,1378.429349,1403.1199538,1188.494743,1449.574142,1593.974237,1598.183019,1519.582875,1469.9618031999998,663.3925557,746.6595756,810.7223169,843.3029287,851.5110688999999,783.1176891599999,825.4998063999999,997.4495201,1120.900681,1170.7717480000001,1165.130447,1055.9504405,831.1781175,1016.8928890000001,1160.6432730000001,1236.642109,1262.142975,1101.4998727,582.0551984,644.2217645,707.8394214,760.3387296,796.1242198,698.11586674,640.2046774,773.3918133,906.1991433000001,1009.877114,1071.930266,880.3206028000001,642.2503588999999,781.835329,926.5431880000001,1048.0704130000001,1133.719687,906.48379518
112,0.9163177723,0.9392496912999999,0.939162035,838.7802692,973.0026412000001,1036.980826,1024.3137769999998,961.9510767,967.0057180199999,1207.780407,1484.158864,1609.786296,1572.01657,1417.011937,1458.1508148,1207.639746,1498.195769,1646.639909,1641.971611,1529.3622369999998,1504.7618544000002,652.3060371,734.3372687000001,795.4999199,825.4586779,829.3534742,767.3910755600001,811.0636979,991.2721299000001,1119.013017,1172.233252,1162.2264599999999,1051.16171136,811.6904297,999.9282402999999,1142.080775,1215.986332,1231.924294,1080.3220141999998,576.4665289,634.1149576,693.6984421,743.0328192000001,775.7776682,684.6180832,632.0260879,761.7896318,894.054235,999.7550914999999,1062.826126,870.0902344399999,632.2532864,764.9965331000001,904.5207082999999,1022.801792,1103.979568,885.7103775599999
113,0.9962006623999999,1.021077988,1.0209490190000001,860.2138687999999,1012.2925039999999,1083.487243,1068.806862,997.1696472000001,1004.3940249999999,1254.197684,1565.5459740000001,1703.6376670000002,1664.4848,1489.8749369999998,1535.5482124,1255.193576,1581.662178,1744.2713489999999,1742.086232,1615.2043199999998,1587.6835310000001,661.6388381,753.656973,821.2452676,853.6054017000001,856.2073776000001,789.2707716000001,833.9552077000001,1036.84481,1178.68652,1236.6396710000001,1221.458515,1101.51694474,835.351817,1047.244973,1205.1162160000001,1286.545139,1300.5376019999999,1134.9591494000001,579.8412926,643.2864217,709.035428,763.2729286,798.6347697000001,698.81416812,640.1222456,783.5046155,930.2295527999999,1047.194991,1115.251917,903.2606643800002,640.6309414,787.53626,942.5024911,1073.782517,1162.353361,921.3611141000001
114,1.044918858,1.063835988,1.063689782,870.0254845000001,1031.480744,1109.22534,1098.537114,1022.9650619999999,1026.4467489,1274.648945,1602.9400660000001,1749.475537,1715.6449690000002,1537.075061,1575.9569156000002,1276.02855,1619.503433,1791.4459239999999,1794.664291,1666.844752,1629.6973899999998,665.9926254,763.1923264,835.2435925,871.1224269999999,873.9260068,801.8953956199999,844.3483914999999,1058.42125,1208.1895769999999,1271.286759,1256.307652,1127.7107259,846.0407933,1069.440196,1235.83489,1323.2805640000001,1339.0060310000001,1162.7204948600001,581.4198227999999,647.7606522000001,717.0479533,774.8955589,812.632401,706.75127764,643.8119826000001,793.7147434999999,947.806333,1071.540876,1143.895916,920.15397022,644.4286538,798.0465019,960.7394144,1099.373881,1193.2334740000001,939.16438502
115,1.048948554,1.058939267,1.058805524,866.5112428,1028.8214480000001,1109.5636949999998,1103.322045,1029.07497,1027.4586801599999,1265.682724,1594.3188,1743.0742460000001,1714.3466239999998,1542.056511,1571.895781,1266.681994,1609.9701,1783.026214,1789.974062,1667.712407,1623.4729554,664.5213673999999,761.7377368,834.8881532,872.7369927000001,876.5288122000002,802.0826124600001,840.1025568,1053.244105,1203.423309,1268.740028,1256.725479,1124.44709556,841.5195792999999,1063.583202,1229.605169,1318.3749380000002,1336.613827,1157.93934306,580.8955185,646.8972521000001,716.3569456,775.0485970999999,813.7091061000001,706.58148388,642.3354496000001,790.8768859,944.1805332,1068.246322,1142.0037220000002,917.52858254,642.8507484,794.8918062000001,956.360653,1094.695222,1189.373317,935.6343493200002
